station,coordinaten,provincie,directe verbindingen,aantal inwoners
Den Helder,"52°54'49""N 4°48'22""E",Noord-Holland,"Alkmaar,Heerhugowaard",55559
Den Helder Zuid,"52°55'58""N 4°45'51""E",Noord-Holland,"Den Helder,Heerhugowaard,Alkmaar",
Anna Paulowna,"52.8616° N, 4.8238° E",Noord-Holland,"Alkmaar,Heerhugowaard,Den Helder Zuid",13999
Schagen,"52.7881° N, 4.8044° E",Noord-Holland,"Alkmaar,Heerhugowaard,Anna Paulowna",46553
Heerhugowaard,"52.6627° N, 4.8325° E",Noord-Holland,"Alkmaar,Schagen,Obdam,Alkmaar Noord",56742
Alkmaar Noord,"52°38'37""N 4°45'48""E",Noord-Holland,"Alkmaar,Heerhugowaard",
Alkmaar,"52.6324° N, 4.7534° E",Noord-Holland,"Castricum,Alkmaar Noord,Heiloo,Uitgeest",107106
Heiloo,"52.6012° N, 4.7005° E",Noord-Holland,"Castricum,Alkmaar",23464
Castricum,"52.5496° N, 4.6695° E",Noord-Holland,"Uitgeest,Heiloo,Zaandam,Alkmaar",35772
Uitgeest,"52.5312° N, 4.7120° E",Noord-Holland,"Castricum,Zaandijk Zaanse Schans,Heemskerk,Krommenie-Assendelft",13528
Heemskerk,"52.5141° N, 4.6821° E",Noord-Holland,"Uitgeest,Beverwijk",39164
Beverwijk,"52.4870° N, 4.6574° E",Noord-Holland,"Heemskerk,Driehuis",41176
Driehuis,"52°26'46""N 4°38'36""E",Noord-Holland,"Beverwijk,Santpoort Noord",3320
Santpoort Noord,"52°26'16""N 4°36'29""E",Noord-Holland,"Driehuis,Santpoort Zuid",10142
Santpoort Zuid,"52°25'11""N 4°37'55""E",Noord-Holland,"Santpoort Noord,Bloemendaal",3280
Bloemendaal,"52.4049° N, 4.6202° E",Noord-Holland,"Haarlem,Santpoort Zuid",23159
Obdam,"52.6760° N, 4.9082° E",Noord-Holland,"Heerhugowaard,Hoorn",5960
Krommenie-Assendelft,"52°29'42""N 4°45'18""E",Noord-Holland,"Zaandijk Zaanse Schans,Uitgeest,Wormerveer",
Wormerveer,"52.4904° N, 4.7981° E",Noord-Holland,"Zaandijk Zaanse Schans,Krommenie-Assendelft",11415
Zaandijk Zaanse Schans,"52°28'08""N 4°48'18""E",Noord-Holland,"Zaandam,Wormerveer,Koog aan de Zaan",
Koog aan de Zaan,"52°28'00""N 4°48'46""E",Noord-Holland,"Zaandijk Zaanse Schans,Zaandam",
Zaandam,"52.4420° N, 4.8292° E",Noord-Holland,"Castricum,Koog aan de Zaan,Amsterdam Sloterdijk,Zaandam Kogerveld",76804
Zaandam Kogerveld,"52.4588° N, 4.8293° E",Noord-Holland,"Zaandam,Purmerend Weidevenne",
Purmerend Weidevenne,"52.4967° N, 4.9277° E",Noord-Holland,"Zaandam Kogerveld,Purmerend",
Purmerend,"52.5144° N, 4.9641° E",Noord-Holland,"Purmerend Weidevenne,Purmerend Overwhere,Zaandam",80117
Purmerend Overwhere,"52°30'40""N 4°58'01""E",Noord-Holland,"Hoorn,Purmerend",
Hoorn,"52.6424° N, 5.0602° E",Noord-Holland,"Hoorn Kersenboogerd,Obdam,Purmerend Overwhere,Amsterdam Sloterdijk,Purmerend,Heerhugowaard",73261
Hoorn Kersenboogerd,"52.6530° N, 5.0853° E",Noord-Holland,"Hoorn,Hoogkarspel",20610
Hoogkarspel,"52.6926° N, 5.1653° E",Noord-Holland,"Bovenkarspel-Grootebroek,Hoorn Kersenboogerd,Hoorn",7932
Bovenkarspel-Grootebroek,"52°41'42""N 5°14'09""E",Noord-Holland,"Bovenkarspel Flora,Hoorn",8447
Bovenkarspel Flora,"52°41'46""N 5°15'11""E",Noord-Holland,"Hoorn,Enkhuizen",
Enkhuizen,"52.7076° N, 5.2741° E",Noord-Holland,Hoorn,18507
Zandvoort aan Zee,"52.3711° N, 4.5334° E",Noord-Holland,Overveen,17011
Overveen,"52.3921° N, 4.6096° E",Noord-Holland,"Haarlem,Zandvoort aan Zee",4040
Haarlem Spaarnwoude,"52.3830° N, 4.6721° E",Noord-Holland,"Halfweg-Zwanenburg,Haarlem",
Halfweg-Zwanenburg,"52°23'08""N 4°44'46""E",Noord-Holland,"Haarlem Spaarnwoude,Amsterdam Sloterdijk,Haarlem",
Amsterdam Sloterdijk,"52.3868° N, 4.8468° E",Noord-Holland,"Amsterdam Centraal,Zaandam,Haarlem,Amsterdam Lelylaan,Hoorn,Zaandam,Halfweg-Zwanenburg",
Haarlem,"52.3874° N, 4.6462° E",Noord-Holland,"Heemstede-Aerdenhout,Amsterdam Sloterdijk,Overveen,Haarlem Spaarnwoude,Bloemendaal",235141
Amsterdam Centraal,"52.3791° N, 4.9003° E",Noord-Holland,"Amsterdam Amstel,Amsterdam Sloterdijk,Hilversum,Almere Centrum,Schiphol Airport,Weesp,Antwerpen-Centraal,Duivendrecht",821752
Amsterdam Lelylaan,"52.3579° N, 4.8340° E",Noord-Holland,"Schiphol Airport,Amsterdam Sloterdijk",
Heemstede-Aerdenhout,"52.3595° N, 4.6069° E",Noord-Holland,"Leiden Centraal,Haarlem,Hillegom",
Amsterdam Muiderpoort,"52.3607° N, 4.9303° E",Noord-Holland,"Amsterdam Centraal,Weesp,Duivendrecht",
Amsterdam Sciencepark,"52°21'13""N 4°57'26""E",Noord-Holland,"Amsterdam Muiderpoort,Diemen",
Diemen,"52.3390° N, 4.9592° E",Noord-Holland,"Amsterdam Sciencepark,Weesp",29196
Hillegom,"52.2956° N, 4.5792° E",Noord-Holland,"Heemstede-Aerdenhout,Voorhout",21966
Diemen Zuid,"52.3328° N, 4.9556° E",Noord-Holland,"Weesp,Duivendrecht",
Leiden Lammenschans,"52.1469° N, 4.4927° E",Zuid-Holland,"Alphen aan den Rijn,Leiden Centraal",
Leiden Centraal,"52.1664° N, 4.4821° E",Zuid-Holland,"Sassenheim,Voorhout,Den Haag Centraal,Den Haag HS,Schiphol Airport,Alphen aan den Rijn,De Vink,Den Haag Laan van NOI,Heemstede-Aerdenhout",
Amsterdam Amstel,"52.3467° N, 4.9184° E",Noord-Holland,"Utrecht Centraal,Amsterdam Centraal,Duivendrecht",
Amsterdam RAI,"52.3412° N, 4.8886° E",Noord-Holland,"Duivendrecht,Amsterdam Zuid",
Duivendrecht,"52.3329° N, 4.9412° E",Noord-Holland,"Amsterdam RAI,Hilversum,Weesp,Amsterdam Bijlmer ArenA,Amsterdam Zuid,Diemen Zuid",
Amsterdam Zuid,"52.3449° N, 4.8766° E",Noord-Holland,"Schiphol Airport,Duivendrecht,Utrecht Centraal,Amsterdam RAI,Amsterdam Bijlmer ArenA,Almere Centrum,Hilversum",
Weesp,"52.3081° N, 5.0406° E",Noord-Holland,"Diemen Zuid,Naarden-Bussum,Almere Poort,Diemen",19334
Schiphol Airport,"52.3169° N, 4.7459° E",Noord-Holland,"Amsterdam Centraal,Rotterdam Centraal,Amsterdam Sloterdijk,Leiden Centraal,Antwerpen-Centraal,Amsterdam Lelylaan,Hoofddorp,Amsterdam Zuid,Leiden Centraal",
Hoofddorp,"52°18'21""N 4°41'00""E",Noord-Holland,"Schiphol Airport,Nieuw Vennep",79650
Nieuw Vennep,"52°16'02""N 4°38'02""E",Noord-Holland,"Sassenheim,Schiphol Airport,Hoofddorp",31300
Sassenheim,"52°14'55""N 4°35'18""E",Noord-Holland,"Leiden Centraal,Schiphol Airport,Nieuw Vennep",14906
Voorhout,"52°14'10""N 4°31'57""E",Noord-Holland,"Leiden Centraal,Hillegom",17280
Amsterdam Holendrecht,"52.2982° N, 4.9597° E",Noord-Holland,"Abcoude,Amsterdam Bijlmer ArenA",
Abcoude,"52.2721° N, 4.9705° E",Utrecht,"Breukelen,Amsterdam Bijlmer ArenA",8857
Breukelen,"52°09'46""N 5°00'01""E",Utrecht,"Utrecht Centraal,Amsterdam Bijlmer ArenA,Woerden",14635
