city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tilburg,51.5500,5.0833,Netherlands,NL,Noord-Brabant,minor,1944588,1944588
Amsterdam,52.3728,4.8936,Netherlands,NL,Noord-Holland,primary,1459402,917923
Rotterdam,51.9200,4.4800,Netherlands,NL,Zuid-Holland,minor,664311,664311
The Hague,52.0800,4.3100,Netherlands,NL,Zuid-Holland,primary,548320,548320
Utrecht,52.0908,5.1217,Netherlands,NL,Utrecht,admin,359370,359370
Maastricht,50.8500,5.6833,Netherlands,NL,Limburg,admin,277721,120227
Eindhoven,51.4333,5.4833,Netherlands,NL,Noord-Brabant,minor,243730,243730
Groningen,53.2189,6.5675,Netherlands,NL,Groningen,admin,233273,233273
Almere,52.3667,5.2167,Netherlands,NL,Flevoland,minor,214715,214715
Breda,51.5889,4.7758,Netherlands,NL,Noord-Brabant,minor,184126,184126
Nijmegen,51.8475,5.8625,Netherlands,NL,Gelderland,minor,177659,177359
Arnhem,51.9833,5.9167,Netherlands,NL,Gelderland,admin,164096,164096
Haarlem,52.3833,4.6333,Netherlands,NL,Noord-Holland,admin,162543,162543
Enschede,52.2225,6.8925,Netherlands,NL,Overijssel,minor,159703,159703
’s-Hertogenbosch,51.6833,5.3000,Netherlands,NL,Noord-Brabant,admin,157486,157486
Amersfoort,52.1500,5.3833,Netherlands,NL,Utrecht,minor,157462,157462
Zaanstad,52.4333,4.8167,Netherlands,NL,Noord-Holland,,156901,156901
Apeldoorn,52.2167,5.9667,Netherlands,NL,Gelderland,minor,138945,138945
Zwolle,52.5167,6.1000,Netherlands,NL,Overijssel,admin,129840,129840
Zoetermeer,52.0667,4.5000,Netherlands,NL,Zuid-Holland,minor,125267,125267
Leeuwarden,53.2000,5.7833,Netherlands,NL,Fryslân,admin,124481,124481
Leiden,52.1600,4.4900,Netherlands,NL,Zuid-Holland,minor,124093,124093
Dordrecht,51.7958,4.6783,Netherlands,NL,Zuid-Holland,minor,121434,121434
Alphen aan den Rijn,52.1333,4.6667,Netherlands,NL,Zuid-Holland,minor,114182,114182
Alkmaar,52.6333,4.7500,Netherlands,NL,Noord-Holland,minor,111766,111766
Delft,52.0117,4.3592,Netherlands,NL,Zuid-Holland,minor,109435,109435
Emmen,52.7833,6.9000,Netherlands,NL,Drenthe,minor,107024,107024
Deventer,52.2500,6.1500,Netherlands,NL,Overijssel,minor,101236,101236
Helmond,51.4833,5.6500,Netherlands,NL,Noord-Brabant,minor,92627,92627
Hilversum,52.2333,5.1667,Netherlands,NL,Noord-Holland,minor,91235,91235
Heerlen,50.8833,5.9833,Netherlands,NL,Limburg,minor,86936,86936
Lelystad,52.5000,5.4833,Netherlands,NL,Flevoland,admin,83033,83033
Purmerend,52.5000,4.9500,Netherlands,NL,Noord-Holland,minor,81515,81515
Hengelo,52.2653,6.7931,Netherlands,NL,Overijssel,minor,81049,81049
Schiedam,51.9167,4.4000,Netherlands,NL,Zuid-Holland,minor,79279,79279
Zaandam,52.4333,4.8333,Netherlands,NL,Noord-Holland,minor,78682,78682
